Yil,Ay,Gun,Saat,Basel
Y2018,Ocak,D11,T1800,0.0
Y2018,Ocak,D11,T1900,0.0
Y2018,Ocak,D11,T2000,0.0
Y2018,Ocak,D11,T2100,0.2
Y2018,Ocak,D11,T2200,0.1
Y2018,Ocak,D11,T2300,0.0
Y2018,Ocak,D12,T0000,0.0
Y2018,Ocak,D12,T0100,0.0
Y2018,Ocak,D12,T0200,0.0
Y2018,Ocak,D12,T0300,0.0
Y2018,Ocak,D12,T0400,0.0
Y2018,Ocak,D12,T0500,0.0
Y2018,Ocak,D12,T0600,0.0
Y2018,Ocak,D12,T0700,0.0
Y2018,Ocak,D12,T0800,0.0
Y2018,Ocak,D12,T0900,0.0
Y2018,Ocak,D12,T1000,0.0
Y2018,Ocak,D12,T1100,0.0
Y2018,Ocak,D12,T1200,0.0
Y2018,Ocak,D12,T1300,0.0
Y2018,Ocak,D12,T1400,0.0
Y2018,Ocak,D12,T1500,0.0
Y2018,Ocak,D12,T1600,0.0
Y2018,Ocak,D12,T1700,0.0
Y2018,Ocak,D12,T1800,0.0
Y2018,Ocak,D12,T1900,0.0
Y2018,Ocak,D12,T2000,0.0
Y2018,Ocak,D12,T2100,0.0
Y2018,Ocak,D12,T2200,0.0
Y2018,Ocak,D12,T2300,0.0
Y2018,Ocak,D13,T0000,0.0
Y2018,Ocak,D13,T0100,0.0
Y2018,Ocak,D13,T0200,0.0
Y2018,Ocak,D13,T0300,0.0
Y2018,Ocak,D13,T0400,0.0
Y2018,Ocak,D13,T0500,0.0
Y2018,Ocak,D13,T0600,0.0
Y2018,Ocak,D13,T0700,0.0
Y2018,Ocak,D13,T0800,0.0
Y2018,Ocak,D13,T0900,0.0
Y2018,Ocak,D13,T1000,0.0
Y2018,Ocak,D13,T1100,0.0
Y2018,Ocak,D13,T1200,0.0
Y2018,Ocak,D13,T1300,0.0
Y2018,Ocak,D13,T1400,0.0
Y2018,Ocak,D13,T1500,0.0
Y2018,Ocak,D13,T1600,0.0
Y2018,Ocak,D13,T1700,0.0
Y2018,Ocak,D13,T1800,0.0
Y2018,Ocak,D13,T1900,0.0
Y2018,Ocak,D13,T2000,0.0
Y2018,Ocak,D13,T2100,0.0
Y2018,Ocak,D13,T2200,0.0
Y2018,Ocak,D13,T2300,0.0
Y2018,Ocak,D14,T0000,0.0
Y2018,Ocak,D14,T0100,0.0
Y2018,Ocak,D14,T0200,0.0
Y2018,Ocak,D14,T0300,0.0
Y2018,Ocak,D14,T0400,0.0
Y2018,Ocak,D14,T0500,0.0
Y2018,Ocak,D14,T0600,0.0
Y2018,Ocak,D14,T0700,0.0
Y2018,Ocak,D14,T0800,0.0
Y2018,Ocak,D14,T0900,0.0
Y2018,Ocak,D14,T1000,0.0
Y2018,Ocak,D14,T1100,0.0
Y2018,Ocak,D14,T1200,0.0
Y2018,Ocak,D14,T1300,0.0
Y2018,Ocak,D14,T1400,0.0
Y2018,Ocak,D14,T1500,0.0
Y2018,Ocak,D14,T1600,0.0
Y2018,Ocak,D14,T1700,0.0
Y2018,Ocak,D14,T1800,0.0
Y2018,Ocak,D14,T1900,0.0
Y2018,Ocak,D14,T2000,0.0
Y2018,Ocak,D14,T2100,0.0
Y2018,Ocak,D14,T2200,0.0
Y2018,Ocak,D14,T2300,0.0
Y2018,Ocak,D15,T0000,0.0
Y2018,Ocak,D15,T0100,0.0
Y2018,Ocak,D15,T0200,0.0
Y2018,Ocak,D15,T0300,0.0
Y2018,Ocak,D15,T0400,0.0
Y2018,Ocak,D15,T0500,0.0
Y2018,Ocak,D15,T0600,0.0
Y2018,Ocak,D15,T0700,0.0
Y2018,Ocak,D15,T0800,0.0
