Yil,Ay,Gun,Saat,Yagis
Y2023,Ocak,D21,T0300,0.0
Y2023,Ocak,D21,T0400,0.0
Y2023,Ocak,D21,T0500,0.0
Y2023,Ocak,D21,T0600,0.0
Y2023,Ocak,D21,T0700,0.0
Y2023,Ocak,D21,T0800,0.0
Y2023,Ocak,D21,T0900,0.0
Y2023,Ocak,D21,T1000,0.0
Y2023,Ocak,D21,T1100,0.0
Y2023,Ocak,D21,T1200,0.0
Y2023,Ocak,D21,T1300,0.0
Y2023,Ocak,D21,T1400,0.0
Y2023,Ocak,D21,T1500,0.0
Y2023,Ocak,D21,T1600,0.0
Y2023,Ocak,D21,T1700,0.0
Y2023,Ocak,D21,T1800,0.0
Y2023,Ocak,D21,T1900,0.0
Y2023,Ocak,D21,T2000,0.0
Y2023,Ocak,D21,T2100,0.0
Y2023,Ocak,D21,T2200,0.0
Y2023,Ocak,D21,T2300,0.0
Y2023,Ocak,D22,T0000,0.0
Y2023,Ocak,D22,T0100,0.0
Y2023,Ocak,D22,T0200,0.2
Y2023,Ocak,D22,T0300,0.2
Y2023,Ocak,D22,T0400,0.2
Y2023,Ocak,D22,T0500,0.1
Y2023,Ocak,D22,T0600,0.1
Y2023,Ocak,D22,T0700,0.0
Y2023,Ocak,D22,T0800,0.0
Y2023,Ocak,D22,T0900,0.0
Y2023,Ocak,D22,T1000,0.0
Y2023,Ocak,D22,T1100,0.1
Y2023,Ocak,D22,T1200,0.1
Y2023,Ocak,D22,T1300,0.1
Y2023,Ocak,D22,T1400,0.0
Y2023,Ocak,D22,T1500,0.0
Y2023,Ocak,D22,T1600,0.0
Y2023,Ocak,D22,T1700,0.0
Y2023,Ocak,D22,T1800,0.0
Y2023,Ocak,D22,T1900,0.0
Y2023,Ocak,D22,T2000,0.0
Y2023,Ocak,D22,T2100,0.0
Y2023,Ocak,D22,T2200,0.0
Y2023,Ocak,D22,T2300,0.0
Y2023,Ocak,D23,T0000,0.0
Y2023,Ocak,D23,T0100,0.0
Y2023,Ocak,D23,T0200,0.0
Y2023,Ocak,D23,T0300,0.0
Y2023,Ocak,D23,T0400,0.0
Y2023,Ocak,D23,T0500,0.0
Y2023,Ocak,D23,T0600,0.0
Y2023,Ocak,D23,T0700,0.0
Y2023,Ocak,D23,T0800,0.0
Y2023,Ocak,D23,T0900,0.0
Y2023,Ocak,D23,T1000,0.0
Y2023,Ocak,D23,T1100,0.0
Y2023,Ocak,D23,T1200,0.0
Y2023,Ocak,D23,T1300,0.0
Y2023,Ocak,D23,T1400,0.0
Y2023,Ocak,D23,T1500,0.0
Y2023,Ocak,D23,T1600,0.0
Y2023,Ocak,D23,T1700,0.0
Y2023,Ocak,D23,T1800,0.0
Y2023,Ocak,D23,T1900,0.0
Y2023,Ocak,D23,T2000,0.0
Y2023,Ocak,D23,T2100,0.0
Y2023,Ocak,D23,T2200,0.0
Y2023,Ocak,D23,T2300,0.0
Y2023,Ocak,D24,T0000,0.0
Y2023,Ocak,D24,T0100,0.0
Y2023,Ocak,D24,T0200,0.0
Y2023,Ocak,D24,T0300,0.0
Y2023,Ocak,D24,T0400,0.0
Y2023,Ocak,D24,T0500,0.0
Y2023,Ocak,D24,T0600,0.0
Y2023,Ocak,D24,T0700,0.0
Y2023,Ocak,D24,T0800,0.0
Y2023,Ocak,D24,T0900,0.0
Y2023,Ocak,D24,T1000,0.0
Y2023,Ocak,D24,T1100,0.0
Y2023,Ocak,D24,T1200,0.0
Y2023,Ocak,D24,T1300,0.0
Y2023,Ocak,D24,T1400,0.0
Y2023,Ocak,D24,T1500,0.0
Y2023,Ocak,D24,T1600,0.0
Y2023,Ocak,D24,T1700,0.0
Y2023,Ocak,D24,T1800,0.0
Y2023,Ocak,D24,T1900,0.0
Y2023,Ocak,D24,T2000,0.0
Y2023,Ocak,D24,T2100,0.0
Y2023,Ocak,D24,T2200,0.0
Y2023,Ocak,D24,T2300,0.0
Y2023,Ocak,D25,T0000,0.0
Y2023,Ocak,D25,T0100,0.0
Y2023,Ocak,D25,T0200,0.0
Y2023,Ocak,D25,T0300,0.0
Y2023,Ocak,D25,T0400,0.0
Y2023,Ocak,D25,T0500,0.0
Y2023,Ocak,D25,T0600,0.0
Y2023,Ocak,D25,T0700,0.0
Y2023,Ocak,D25,T0800,0.0
Y2023,Ocak,D25,T0900,0.0
Y2023,Ocak,D25,T1000,0.0
Y2023,Ocak,D25,T1100,0.0
Y2023,Ocak,D25,T1200,0.0
Y2023,Ocak,D25,T1300,0.0
Y2023,Ocak,D25,T1400,0.0
Y2023,Ocak,D25,T1500,0.0
Y2023,Ocak,D25,T1600,0.0
Y2023,Ocak,D25,T1700,0.0
Y2023,Ocak,D25,T1800,0.0
Y2023,Ocak,D25,T1900,0.0
Y2023,Ocak,D25,T2000,0.0
Y2023,Ocak,D25,T2100,0.0
Y2023,Ocak,D25,T2200,0.0
Y2023,Ocak,D25,T2300,0.0
Y2023,Ocak,D26,T0000,0.0
Y2023,Ocak,D26,T0100,0.0
Y2023,Ocak,D26,T0200,0.0
Y2023,Ocak,D26,T0300,0.0
Y2023,Ocak,D26,T0400,0.0
Y2023,Ocak,D26,T0500,0.0
Y2023,Ocak,D26,T0600,0.0
Y2023,Ocak,D26,T0700,0.0
Y2023,Ocak,D26,T0800,0.0
Y2023,Ocak,D26,T0900,0.0
Y2023,Ocak,D26,T1000,0.0
Y2023,Ocak,D26,T1100,0.0
Y2023,Ocak,D26,T1200,0.0
Y2023,Ocak,D26,T1300,0.0
Y2023,Ocak,D26,T1400,0.0
Y2023,Ocak,D26,T1500,0.0
Y2023,Ocak,D26,T1600,0.0
Y2023,Ocak,D26,T1700,0.0
Y2023,Ocak,D26,T1800,0.0
Y2023,Ocak,D26,T1900,0.0
Y2023,Ocak,D26,T2000,0.0
Y2023,Ocak,D26,T2100,0.0
Y2023,Ocak,D26,T2200,0.0
Y2023,Ocak,D26,T2300,0.0
Y2023,Ocak,D27,T0000,0.0
Y2023,Ocak,D27,T0100,0.0
Y2023,Ocak,D27,T0200,0.0
Y2023,Ocak,D27,T0300,0.0
Y2023,Ocak,D27,T0400,0.0
Y2023,Ocak,D27,T0500,0.0
Y2023,Ocak,D27,T0600,0.0
Y2023,Ocak,D27,T0700,0.0
Y2023,Ocak,D27,T0800,0.0
Y2023,Ocak,D27,T0900,0.0
Y2023,Ocak,D27,T1000,0.0
Y2023,Ocak,D27,T1100,0.0
Y2023,Ocak,D27,T1200,0.0
Y2023,Ocak,D27,T1300,0.0
Y2023,Ocak,D27,T1400,0.0
Y2023,Ocak,D27,T1500,0.0
Y2023,Ocak,D27,T1600,0.0
Y2023,Ocak,D27,T1700,0.0
Y2023,Ocak,D27,T1800,0.0
Y2023,Ocak,D27,T1900,0.0
Y2023,Ocak,D27,T2000,0.0
Y2023,Ocak,D27,T2100,0.0
Y2023,Ocak,D27,T2200,0.0
