Yil,Ay,Gun,Saat,Nem
Y2023,Ocak,D19,T0400,89.0976
Y2023,Ocak,D19,T0500,88.176125
Y2023,Ocak,D19,T0600,86.91607
Y2023,Ocak,D19,T0700,84.93307
Y2023,Ocak,D19,T0800,85.63904
Y2023,Ocak,D19,T0900,85.09261
Y2023,Ocak,D19,T1000,82.561
Y2023,Ocak,D19,T1100,78.97033
Y2023,Ocak,D19,T1200,74.35602
Y2023,Ocak,D19,T1300,72.63451
Y2023,Ocak,D19,T1400,72.32839
Y2023,Ocak,D19,T1500,77.85766
Y2023,Ocak,D19,T1600,85.51334
Y2023,Ocak,D19,T1700,90.58094
Y2023,Ocak,D19,T1800,91.76971
Y2023,Ocak,D19,T1900,92.06096
Y2023,Ocak,D19,T2000,90.083374
Y2023,Ocak,D19,T2100,91.40621
Y2023,Ocak,D19,T2200,91.20988
Y2023,Ocak,D19,T2300,89.85528
Y2023,Ocak,D20,T0000,89.2934
Y2023,Ocak,D20,T0100,87.48058
Y2023,Ocak,D20,T0200,86.02789
Y2023,Ocak,D20,T0300,85.27553
Y2023,Ocak,D20,T0400,84.789375
Y2023,Ocak,D20,T0500,80.5945
Y2023,Ocak,D20,T0600,81.40189
Y2023,Ocak,D20,T0700,83.89106
Y2023,Ocak,D20,T0800,80.14297
Y2023,Ocak,D20,T0900,77.961945
Y2023,Ocak,D20,T1000,80.81235
Y2023,Ocak,D20,T1100,77.911156
Y2023,Ocak,D20,T1200,73.31572
Y2023,Ocak,D20,T1300,71.16392
Y2023,Ocak,D20,T1400,68.87658
Y2023,Ocak,D20,T1500,72.611374
Y2023,Ocak,D20,T1600,77.83507
Y2023,Ocak,D20,T1700,81.46992
Y2023,Ocak,D20,T1800,86.94059
Y2023,Ocak,D20,T1900,88.57786
Y2023,Ocak,D20,T2000,86.20043
Y2023,Ocak,D20,T2100,92.175804
Y2023,Ocak,D20,T2200,85.86285
Y2023,Ocak,D20,T2300,84.47978
Y2023,Ocak,D21,T0000,83.98935
Y2023,Ocak,D21,T0100,83.744095
Y2023,Ocak,D21,T0200,85.70448
Y2023,Ocak,D21,T0300,82.33958
Y2023,Ocak,D21,T0400,81.104294
Y2023,Ocak,D21,T0500,84.0657
Y2023,Ocak,D21,T0600,85.30281
Y2023,Ocak,D21,T0700,87.151665
Y2023,Ocak,D21,T0800,87.43189
Y2023,Ocak,D21,T0900,82.59601
Y2023,Ocak,D21,T1000,77.97013
Y2023,Ocak,D21,T1100,74.823746
Y2023,Ocak,D21,T1200,70.86741
Y2023,Ocak,D21,T1300,70.60957
Y2023,Ocak,D21,T1400,74.43829
Y2023,Ocak,D21,T1500,78.94201
Y2023,Ocak,D21,T1600,82.47999
Y2023,Ocak,D21,T1700,81.804146
Y2023,Ocak,D21,T1800,80.175545
Y2023,Ocak,D21,T1900,80.61229
Y2023,Ocak,D21,T2000,81.83413
Y2023,Ocak,D21,T2100,83.92881
Y2023,Ocak,D21,T2200,84.47954
Y2023,Ocak,D21,T2300,85.04548
Y2023,Ocak,D22,T0000,86.19116
Y2023,Ocak,D22,T0100,86.71093
Y2023,Ocak,D22,T0200,88.14627
Y2023,Ocak,D22,T0300,88.870255
Y2023,Ocak,D22,T0400,89.01583
Y2023,Ocak,D22,T0500,88.11599
Y2023,Ocak,D22,T0600,88.8509
Y2023,Ocak,D22,T0700,89.71888
Y2023,Ocak,D22,T0800,90.26248
Y2023,Ocak,D22,T0900,89.94978
Y2023,Ocak,D22,T1000,87.192314
Y2023,Ocak,D22,T1100,85.83493
Y2023,Ocak,D22,T1200,82.160034
Y2023,Ocak,D22,T1300,80.03801
Y2023,Ocak,D22,T1400,79.11205
Y2023,Ocak,D22,T1500,80.44232
Y2023,Ocak,D22,T1600,80.38116
Y2023,Ocak,D22,T1700,81.79898
