Yil,Ay,Gun,Saat,Bulut
Y2023,Ocak,D20,T1700,57.0
Y2023,Ocak,D20,T1800,87.0
Y2023,Ocak,D20,T1900,98.0
Y2023,Ocak,D20,T2000,96.0
Y2023,Ocak,D20,T2100,99.0
Y2023,Ocak,D20,T2200,88.0
Y2023,Ocak,D20,T2300,100.0
Y2023,Ocak,D21,T0000,100.0
Y2023,Ocak,D21,T0100,88.0
Y2023,Ocak,D21,T0200,93.0
Y2023,Ocak,D21,T0300,96.0
Y2023,Ocak,D21,T0400,89.0
Y2023,Ocak,D21,T0500,88.0
Y2023,Ocak,D21,T0600,51.0
Y2023,Ocak,D21,T0700,32.0
Y2023,Ocak,D21,T0800,61.0
Y2023,Ocak,D21,T0900,81.0
Y2023,Ocak,D21,T1000,79.0
Y2023,Ocak,D21,T1100,62.0
Y2023,Ocak,D21,T1200,54.0
Y2023,Ocak,D21,T1300,71.0
Y2023,Ocak,D21,T1400,75.0
Y2023,Ocak,D21,T1500,47.0
Y2023,Ocak,D21,T1600,51.0
Y2023,Ocak,D21,T1700,62.0
Y2023,Ocak,D21,T1800,71.0
Y2023,Ocak,D21,T1900,78.0
Y2023,Ocak,D21,T2000,65.0
Y2023,Ocak,D21,T2100,73.0
Y2023,Ocak,D21,T2200,94.0
Y2023,Ocak,D21,T2300,97.0
Y2023,Ocak,D22,T0000,83.0
Y2023,Ocak,D22,T0100,90.0
Y2023,Ocak,D22,T0200,92.0
Y2023,Ocak,D22,T0300,96.0
Y2023,Ocak,D22,T0400,98.0
Y2023,Ocak,D22,T0500,97.0
Y2023,Ocak,D22,T0600,96.0
Y2023,Ocak,D22,T0700,93.0
Y2023,Ocak,D22,T0800,85.0
Y2023,Ocak,D22,T0900,95.0
Y2023,Ocak,D22,T1000,45.0
Y2023,Ocak,D22,T1100,67.0
Y2023,Ocak,D22,T1200,88.0
Y2023,Ocak,D22,T1300,86.0
Y2023,Ocak,D22,T1400,75.0
Y2023,Ocak,D22,T1500,54.0
Y2023,Ocak,D22,T1600,63.0
Y2023,Ocak,D22,T1700,62.0
Y2023,Ocak,D22,T1800,74.0
Y2023,Ocak,D22,T1900,67.0
Y2023,Ocak,D22,T2000,72.0
Y2023,Ocak,D22,T2100,27.0
Y2023,Ocak,D22,T2200,72.0
Y2023,Ocak,D22,T2300,44.0
Y2023,Ocak,D23,T0000,48.0
Y2023,Ocak,D23,T0100,54.0
Y2023,Ocak,D23,T0200,52.0
Y2023,Ocak,D23,T0300,57.0
Y2023,Ocak,D23,T0400,77.0
Y2023,Ocak,D23,T0500,88.0
Y2023,Ocak,D23,T0600,86.0
Y2023,Ocak,D23,T0700,89.0
Y2023,Ocak,D23,T0800,85.0
Y2023,Ocak,D23,T0900,73.0
Y2023,Ocak,D23,T1000,90.0
Y2023,Ocak,D23,T1100,92.0
Y2023,Ocak,D23,T1200,92.0
Y2023,Ocak,D23,T1300,89.0
Y2023,Ocak,D23,T1400,81.0
Y2023,Ocak,D23,T1500,86.0
Y2023,Ocak,D23,T1600,90.0
Y2023,Ocak,D23,T1700,96.0
Y2023,Ocak,D23,T1800,96.0
Y2023,Ocak,D23,T1900,96.0
Y2023,Ocak,D23,T2000,90.0
Y2023,Ocak,D23,T2100,92.0
Y2023,Ocak,D23,T2200,85.0
Y2023,Ocak,D23,T2300,86.0
Y2023,Ocak,D24,T0000,97.0
Y2023,Ocak,D24,T0100,87.0
Y2023,Ocak,D24,T0200,90.0
Y2023,Ocak,D24,T0300,91.0
Y2023,Ocak,D24,T0400,90.0
Y2023,Ocak,D24,T0500,83.0
Y2023,Ocak,D24,T0600,64.0
Y2023,Ocak,D24,T0700,54.0
Y2023,Ocak,D24,T0800,58.0
Y2023,Ocak,D24,T0900,53.0
Y2023,Ocak,D24,T1000,81.0
Y2023,Ocak,D24,T1100,68.0
Y2023,Ocak,D24,T1200,78.0
