Yil,Ay,Gun,Saat,Sicaklik
Y2023,Ocak,D13,T2100,7.7002454
Y2023,Ocak,D13,T2200,7.2602453
Y2023,Ocak,D13,T2300,6.940245
Y2023,Ocak,D14,T0000,6.9102454
Y2023,Ocak,D14,T0100,6.520245
Y2023,Ocak,D14,T0200,6.3202453
Y2023,Ocak,D14,T0300,6.5902452
Y2023,Ocak,D14,T0400,6.500245
Y2023,Ocak,D14,T0500,6.880245
Y2023,Ocak,D14,T0600,7.2002454
Y2023,Ocak,D14,T0700,7.3302455
Y2023,Ocak,D14,T0800,7.3302455
Y2023,Ocak,D14,T0900,8.030246
Y2023,Ocak,D14,T1000,8.330246
Y2023,Ocak,D14,T1100,9.170245
Y2023,Ocak,D14,T1200,9.880245
Y2023,Ocak,D14,T1300,10.5602455
Y2023,Ocak,D14,T1400,10.820246
Y2023,Ocak,D14,T1500,10.330245
Y2023,Ocak,D14,T1600,10.350245
Y2023,Ocak,D14,T1700,10.180245
Y2023,Ocak,D14,T1800,10.420245
Y2023,Ocak,D14,T1900,10.710245
Y2023,Ocak,D14,T2000,10.740245
Y2023,Ocak,D14,T2100,10.820246
Y2023,Ocak,D14,T2200,10.940246
Y2023,Ocak,D14,T2300,11.300245
Y2023,Ocak,D15,T0000,11.950245
Y2023,Ocak,D15,T0100,12.240245
Y2023,Ocak,D15,T0200,12.130245
Y2023,Ocak,D15,T0300,12.130245
Y2023,Ocak,D15,T0400,12.160245
Y2023,Ocak,D15,T0500,12.180245
Y2023,Ocak,D15,T0600,11.860246
Y2023,Ocak,D15,T0700,10.590245
Y2023,Ocak,D15,T0800,7.6402454
Y2023,Ocak,D15,T0900,5.650245
Y2023,Ocak,D15,T1000,5.1602454
Y2023,Ocak,D15,T1100,5.0702453
Y2023,Ocak,D15,T1200,4.940245
Y2023,Ocak,D15,T1300,5.270245
Y2023,Ocak,D15,T1400,5.8402452
Y2023,Ocak,D15,T1500,5.8502455
Y2023,Ocak,D15,T1600,5.1202455
Y2023,Ocak,D15,T1700,4.690245
Y2023,Ocak,D15,T1800,4.5402455
Y2023,Ocak,D15,T1900,4.5902452
Y2023,Ocak,D15,T2000,4.420245
Y2023,Ocak,D15,T2100,4.5202456
Y2023,Ocak,D15,T2200,4.2702456
Y2023,Ocak,D15,T2300,4.420245
Y2023,Ocak,D16,T0000,4.690245
Y2023,Ocak,D16,T0100,4.610245
Y2023,Ocak,D16,T0200,4.8902454
Y2023,Ocak,D16,T0300,4.630245
Y2023,Ocak,D16,T0400,3.8202453
Y2023,Ocak,D16,T0500,3.8602452
Y2023,Ocak,D16,T0600,3.5902452
Y2023,Ocak,D16,T0700,3.8602452
Y2023,Ocak,D16,T0800,3.9802456
Y2023,Ocak,D16,T0900,4.2702456
Y2023,Ocak,D16,T1000,5.0602455
Y2023,Ocak,D16,T1100,5.860245
Y2023,Ocak,D16,T1200,6.3702455
Y2023,Ocak,D16,T1300,6.8302455
Y2023,Ocak,D16,T1400,6.3102455
Y2023,Ocak,D16,T1500,6.000245
Y2023,Ocak,D16,T1600,5.900245
Y2023,Ocak,D16,T1700,5.500245
Y2023,Ocak,D16,T1800,5.5302453
Y2023,Ocak,D16,T1900,4.980245
Y2023,Ocak,D16,T2000,4.3002453
Y2023,Ocak,D16,T2100,3.9502454
Y2023,Ocak,D16,T2200,3.7702456
Y2023,Ocak,D16,T2300,3.3902454
Y2023,Ocak,D17,T0000,3.3602452
Y2023,Ocak,D17,T0100,3.3702455
Y2023,Ocak,D17,T0200,3.2602453
Y2023,Ocak,D17,T0300,2.4302454
Y2023,Ocak,D17,T0400,1.8702455
Y2023,Ocak,D17,T0500,1.0502454
Y2023,Ocak,D17,T0600,1.3402455
Y2023,Ocak,D17,T0700,0.8502454
