Yil,Ay,Gun,Saat,Ruzgar Hizi,Ruzgar Yonu
Y2023,Ocak,D14,T2300,90.06118,250.62349
Y2023,Ocak,D15,T0000,100.70224,249.49191
Y2023,Ocak,D15,T0100,110.370384,248.3721
Y2023,Ocak,D15,T0200,111.927574,250.45775
Y2023,Ocak,D15,T0300,107.76273,254.89597
Y2023,Ocak,D15,T0400,111.50066,255.60483
Y2023,Ocak,D15,T0500,114.72935,255.83295
Y2023,Ocak,D15,T0600,102.12141,252.13991
Y2023,Ocak,D15,T0700,95.38913,239.37
Y2023,Ocak,D15,T0800,97.6025,231.43921
Y2023,Ocak,D15,T0900,90.06909,237.07214
Y2023,Ocak,D15,T1000,92.92742,259.73486
Y2023,Ocak,D15,T1100,84.24307,269.5103
Y2023,Ocak,D15,T1200,80.03667,273.09406
Y2023,Ocak,D15,T1300,71.07425,273.77545
Y2023,Ocak,D15,T1400,68.58543,274.21417
Y2023,Ocak,D15,T1500,69.39041,275.05988
Y2023,Ocak,D15,T1600,67.92466,274.8645
Y2023,Ocak,D15,T1700,63.201275,274.5739
Y2023,Ocak,D15,T1800,58.68441,270.70297
Y2023,Ocak,D15,T1900,55.95308,262.23483
Y2023,Ocak,D15,T2000,53.962788,255.3148
Y2023,Ocak,D15,T2100,52.502018,249.94977
Y2023,Ocak,D15,T2200,58.431004,247.54306
Y2023,Ocak,D15,T2300,60.716324,249.52348
Y2023,Ocak,D16,T0000,62.38707,251.14685
Y2023,Ocak,D16,T0100,60.042343,249.28313
Y2023,Ocak,D16,T0200,54.61213,245.46228
Y2023,Ocak,D16,T0300,51.82625,237.19304
Y2023,Ocak,D16,T0400,53.653282,229.8991
Y2023,Ocak,D16,T0500,61.226463,231.44542
Y2023,Ocak,D16,T0600,73.0596,229.7968
Y2023,Ocak,D16,T0700,85.29569,223.80295
Y2023,Ocak,D16,T0800,99.548294,223.97437
Y2023,Ocak,D16,T0900,91.437874,238.68806
Y2023,Ocak,D16,T1000,88.887924,231.41267
Y2023,Ocak,D16,T1100,91.659424,233.62518
Y2023,Ocak,D16,T1200,93.55637,231.71895
Y2023,Ocak,D16,T1300,100.84692,235.91284
Y2023,Ocak,D16,T1400,105.14281,238.86803
Y2023,Ocak,D16,T1500,95.0734,250.53589
Y2023,Ocak,D16,T1600,95.020905,263.03653
Y2023,Ocak,D16,T1700,88.493385,265.33313
Y2023,Ocak,D16,T1800,79.49481,265.06396
Y2023,Ocak,D16,T1900,68.45871,263.65982
Y2023,Ocak,D16,T2000,62.16336,262.01068
Y2023,Ocak,D16,T2100,60.19217,263.13
Y2023,Ocak,D16,T2200,62.33096,267.68295
Y2023,Ocak,D16,T2300,60.17279,267.5998
Y2023,Ocak,D17,T0000,52.442745,264.4851
Y2023,Ocak,D17,T0100,48.945435,260.26056
Y2023,Ocak,D17,T0200,45.94057,254.548
Y2023,Ocak,D17,T0300,43.613518,250.21893
Y2023,Ocak,D17,T0400,39.39986,250.24054
Y2023,Ocak,D17,T0500,33.96233,248.87527
Y2023,Ocak,D17,T0600,28.220417,246.70544
Y2023,Ocak,D17,T0700,22.104116,239.67639
Y2023,Ocak,D17,T0800,17.884428,229.8991
Y2023,Ocak,D17,T0900,15.277749,214.439
Y2023,Ocak,D17,T1000,8.209263,195.25513
Y2023,Ocak,D17,T1100,14.587776,164.24883
Y2023,Ocak,D17,T1200,17.651016,168.2317
Y2023,Ocak,D17,T1300,20.991426,174.09386
Y2023,Ocak,D17,T1400,28.312117,191.73857
Y2023,Ocak,D17,T1500,38.12092,219.25134
Y2023,Ocak,D17,T1600,48.33796,235.00798
Y2023,Ocak,D17,T1700,51.49133,239.31104
Y2023,Ocak,D17,T1800,50.142197,237.90741
Y2023,Ocak,D17,T1900,49.134396,235.14555
Y2023,Ocak,D17,T2000,52.737232,237.82878
Y2023,Ocak,D17,T2100,53.454845,242.74467
Y2023,Ocak,D17,T2200,47.786522,239.1843
Y2023,Ocak,D17,T2300,43.897865,239.43916
Y2023,Ocak,D18,T0000,44.027573,240.0808
Y2023,Ocak,D18,T0100,45.770996,240.81409
Y2023,Ocak,D18,T0200,48.803574,245.1363
Y2023,Ocak,D18,T0300,49.4499,253.94002
Y2023,Ocak,D18,T0400,43.708508,265.27554
