location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Cloud Cover Total
unit,%
level,sfc
resolution,hourly
aggregation,None
timestamp,Basel Cloud Cover Total
20230126T2100,61.0
20230126T2200,60.0
20230126T2300,60.0
20230127T0000,62.0
20230127T0100,61.0
20230127T0200,75.0
20230127T0300,64.0
20230127T0400,54.0
20230127T0500,64.0
20230127T0600,56.0
20230127T0700,59.0
20230127T0800,59.0
20230127T0900,62.0
20230127T1000,95.0
20230127T1100,96.0
20230127T1200,98.0
20230127T1300,97.0
20230127T1400,84.0
20230127T1500,93.0
20230127T1600,74.0
20230127T1700,52.0
20230127T1800,61.0
20230127T1900,54.0
20230127T2000,59.0
20230127T2100,56.0
20230127T2200,90.0
20230127T2300,91.0
20230128T0000,90.0
20230128T0100,64.0
20230128T0200,34.0
20230128T0300,32.0
20230128T0400,66.0
20230128T0500,84.0
20230128T0600,89.0
20230128T0700,92.0
20230128T0800,83.0
20230128T0900,60.0
20230128T1000,86.0
20230128T1100,80.0
20230128T1200,100.0
20230128T1300,98.0
20230128T1400,88.0
20230128T1500,87.0
20230128T1600,81.0
20230128T1700,69.0
20230128T1800,64.0
20230128T1900,48.0
20230128T2000,56.0
20230128T2100,49.0
20230128T2200,42.0
20230128T2300,49.0
20230129T0000,38.0
20230129T0100,44.0
20230129T0200,58.0
20230129T0300,75.0
20230129T0400,54.0
20230129T0500,47.0
20230129T0600,37.0
20230129T0700,27.0
20230129T0800,20.0
20230129T0900,28.2
20230129T1000,76.0
20230129T1100,76.0
20230129T1200,75.0
20230129T1300,73.0
20230129T1400,74.0
20230129T1500,73.0
20230129T1600,69.0
20230129T1700,62.0
20230129T1800,58.0
20230129T1900,49.0
20230129T2000,40.0
20230129T2100,30.0
20230129T2200,21.0
20230129T2300,17.0
20230130T0000,24.0
20230130T0100,40.0
20230130T0200,40.0
20230130T0300,54.0
20230130T0400,53.0
20230130T0500,59.0
20230130T0600,55.0
20230130T0700,71.0
20230130T0800,91.0
20230130T0900,94.0
20230130T1000,93.0
20230130T1100,92.0
20230130T1200,89.0
20230130T1300,92.0
20230130T1400,99.0
20230130T1500,100.0
20230130T1600,93.0
20230130T1700,91.0
20230130T1800,96.0
20230130T1900,94.0
20230130T2000,81.0
20230130T2100,76.0
20230130T2200,85.0
20230130T2300,77.0
20230131T0000,78.0
20230131T0100,66.0
20230131T0200,64.0
20230131T0300,67.0
20230131T0400,62.0
20230131T0500,59.0
20230131T0600,64.0
20230131T0700,68.0
20230131T0800,61.0
20230131T0900,63.0
20230131T1000,93.0
20230131T1100,92.0
20230131T1200,91.0
20230131T1300,93.0
20230131T1400,96.0
20230131T1500,87.0
20230131T1600,99.0
20230131T1700,93.0
20230131T1800,82.0
20230131T1900,90.0
20230131T2000,87.0
20230131T2100,94.0
20230131T2200,77.0
20230131T2300,86.0
20230201T0000,81.0
20230201T0100,88.0
20230201T0200,89.0
20230201T0300,87.0
20230201T0400,93.0
20230201T0500,93.0
20230201T0600,97.0
20230201T0700,97.0
20230201T0800,92.0
20230201T0900,88.0
20230201T1000,82.0
20230201T1100,71.0
20230201T1200,75.0
20230201T1300,84.0
20230201T1400,91.0
20230201T1500,78.0
20230201T1600,89.0
20230201T1700,78.0
20230201T1800,77.0
20230201T1900,88.0
20230201T2000,87.0
20230201T2100,91.0
20230201T2200,99.0
20230201T2300,93.0
20230202T0000,84.0
20230202T0100,89.0
20230202T0200,89.0
20230202T0300,90.0
20230202T0400,92.0
20230202T0500,98.0
20230202T0600,90.0
20230202T0700,97.0
20230202T0800,99.0
20230202T0900,99.0
20230202T1000,90.0
20230202T1100,93.0
20230202T1200,96.0
20230202T1300,89.0
20230202T1400,77.0
20230202T1500,76.0
20230202T1600,82.0
20230202T1700,74.0
20230202T1800,69.0
20230202T1900,71.0
20230202T2000,76.0
20230202T2100,70.0
20230202T2200,64.0
20230202T2300,74.0
20230203T0000,91.0
20230203T0100,100.0
20230203T0200,98.0
20230203T0300,99.0
20230203T0400,95.0
20230203T0500,87.0
20230203T0600,87.0
20230203T0700,80.0
20230203T0800,62.0
20230203T0900,62.0
20230203T1000,66.0
20230203T1100,72.0
20230203T1200,85.0
20230203T1300,90.0
20230203T1400,93.0
20230203T1500,82.0
20230203T1600,85.0
20230203T1700,81.0
20230203T1800,87.0
20230203T1900,97.0
20230203T2000,98.0
20230203T2100,100.0
20230203T2200,100.0
20230203T2300,100.0
20230204T0000,100.0
20230204T0100,100.0
20230204T0200,98.0
20230204T0300,99.0
20230204T0400,100.0
20230204T0500,100.0
20230204T0600,100.0
20230204T0700,100.0
20230204T0800,100.0
20230204T0900,99.0
20230204T1000,99.0
20230204T1100,99.0
20230204T1200,80.0
20230204T1300,91.0
20230204T1400,86.0
20230204T1500,84.0
20230204T1600,85.0
20230204T1700,91.0
20230204T1800,69.0
20230204T1900,54.0
20230204T2000,50.0
20230204T2100,67.0
20230204T2200,69.0
20230204T2300,64.0
20230205T0000,52.0
20230205T0100,85.0
20230205T0200,87.0
20230205T0300,78.0
20230205T0400,83.0
20230205T0500,85.0
20230205T0600,94.0
20230205T0700,96.0
20230205T0800,87.0
20230205T0900,65.0
20230205T1000,93.0
20230205T1100,93.0
20230205T1200,95.0
20230205T1300,100.0
20230205T1400,100.0
20230205T1500,97.0
20230205T1600,93.0
20230205T1700,100.0
20230205T1800,100.0
20230205T1900,100.0
20230205T2000,100.0
20230205T2100,100.0
20230205T2200,64.0
20230205T2300,63.0
20230206T0000,78.0
20230206T0100,79.0
20230206T0200,69.0
20230206T0300,88.0
20230206T0400,84.0
20230206T0500,86.0
20230206T0600,79.0
20230206T0700,71.0
20230206T0800,84.0
20230206T0900,81.0
20230206T1000,77.0
20230206T1100,91.0
20230206T1200,90.0
20230206T1300,94.0
20230206T1400,95.0
20230206T1500,88.0
20230206T1600,76.0
20230206T1700,64.0
20230206T1800,71.0
20230206T1900,73.0
20230206T2000,48.0
20230206T2100,61.0
20230206T2200,43.0
20230206T2300,19.0
20230207T0000,22.0
20230207T0100,25.0
20230207T0200,15.0
20230207T0300,12.0
20230207T0400,11.0
20230207T0500,2.0
20230207T0600,0.0
20230207T0700,0.0
20230207T0800,0.0
20230207T0900,0.0
20230207T1000,0.0
20230207T1100,0.0
20230207T1200,0.0
20230207T1300,0.0
20230207T1400,0.0
20230207T1500,0.0
20230207T1600,0.0
20230207T1700,0.0
20230207T1800,0.0
20230207T1900,0.0
20230207T2000,0.0
20230207T2100,0.0
20230207T2200,0.0
20230207T2300,0.0
20230208T0000,0.0
20230208T0100,0.0
