location,Basel,Basel
lat,47.75000,47.75000
lon,7.50000,7.50000
asl,363.653,363.653
variable,Wind Speed,Wind Direction
unit,km/h,°
level,10 m,10 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20180127T0300,3.319036,347.4712
20180127T0400,4.68,360.0
20180127T0500,5.8048253,7.125
20180127T0600,5.0528407,4.085617
20180127T0700,4.3349743,4.7636414
20180127T0800,3.2599385,6.340164
20180127T0900,4.510787,28.610443
20180127T1000,6.5693827,9.462311
20180127T1100,7.289444,20.224854
20180127T1200,4.452954,14.03624
20180127T1300,1.2979984,123.69006
20180127T1400,0.71999997,180.0
20180127T1500,0.35999998,89.99999
20180127T1600,3.319036,192.52881
20180127T1700,3.6,233.1301
20180127T1800,3.319036,229.39871
20180127T1900,5.0528407,184.08562
20180127T2000,5.7599998,180.0
20180127T2100,5.0528407,175.91438
20180127T2200,4.73506,188.74615
20180127T2300,5.5887027,194.93143
20180128T0000,5.95906,205.01689
20180128T0100,6.9247384,207.89728
20180128T0200,8.427383,199.98311
20180128T0300,7.072878,194.74356
20180128T0400,7.342588,191.30994
20180128T0500,7.2805495,188.53076
20180128T0600,7.9932976,187.76517
20180128T0700,8.4042845,189.86581
20180128T0800,9.531505,190.88553
20180128T0900,9.227524,200.55605
20180128T1000,7.6367526,188.1301
20180128T1100,7.771331,193.3925
20180128T1200,7.8954163,204.22775
20180128T1300,7.10031,210.46555
20180128T1400,7.9036193,210.06859
20180128T1500,6.4096174,218.15723
20180128T1600,4.8433046,221.98721
20180128T1700,6.12,208.0725
20180128T1800,6.763786,205.20113
20180128T1900,5.95906,205.01689
20180128T2000,5.6920996,198.43495
20180128T2100,5.937272,194.03624
20180128T2200,5.815978,201.8014
20180128T2300,5.95906,205.01689
20180129T0000,5.495161,211.6075
20180129T0100,5.3999996,216.8699
20180129T0200,5.1165614,219.28941
20180129T0300,5.3517847,222.27368
20180129T0400,5.8603754,222.51045
20180129T0500,6.1305785,220.23636
20180129T0600,6.6087217,209.35776
20180129T0700,6.439876,206.56505
20180129T0800,6.830519,198.43495
20180129T0900,7.5685663,205.34618
20180129T1000,7.9036193,210.06859
20180129T1100,9.585739,214.28688
20180129T1200,9.931042,223.5312
20180129T1300,10.883676,235.7843
